word,pos,synonym
ทวี,v,คูณ|เพิ่มพูน|พอกพูน
สี่,n,สองคู่|จตุ
เงิน,n,รัชตะ|รัชดา|รัชฎา|ปรัก|หิรัญ|รชตะ
แมว,n,มัชชาระ|วิฬาร|วิฬาร์
จุฬาลงกรณ์มหาวิทยาลัย,n,จุฬา|จุฬาฯ|จุฬาลงกรณมหาวิทยาลัย
ดวงดาว,n,ชุติ|ดารา|ดารกะ|นักษัตร|ผกาย
ลม,n,ขยล|พระพาย|มารุต|วาตะ|วายุ|วาโย|อนิละ
กลางคืน,n,รัตติ|รัตติกาล|ราตรี|นิศา|นิศากาล
กลางวัน,n,ทิวากร|ทิวากาล
วัน,n,ทิวา|ทิน|ทิพา|ทิวะ
ลูก,n,บุตร|กูน|ดนุช|เอารส
ลูกชาย,n,บุตร|โอรส|ดนยะ|ดนัย
ลูกสาว,n,บุตรี|ธิดา|สุดา|ดนยา
คำพูด,n,วาจา|วจี|วจนะ|วัจน์|พจน์|พจนา|พากย์|พาท|วาท|วาทะ|ถ้อย
เท้า,n,บท|บทบงกช|บทมาลย์|บทวเรศ|บทเรศ|บทศรี|บาท|บาทบงกช|บาทา
แต่งงาน,v,วิวาห์|อาวาหะ|สมพงศ์|สมรส|อภิเษกสมรส
เดิน,v,กราย|คลาไคล|ไคลคลา|จรลี|เดินเหิน|เตร่|ทอดน่อง|บทจร|ผเดิน|ย่าง|ยาตร|ยาตรา|ยุรยาตร|เยื้องย่าง
รุ่งเรือง,adj,จรัส|จำรัส|ชวลิต|ชัชวาล|โชติช่วง|รุ่งโรจน์|รุจิ|รุจี
โกรธ,v,กริ้ว|เกรี้ยวโกรธ|โกรธเกรี้ยว|โกรธขึ้ง|โกรธา|ขึ้งโกรธ|ขึ้งเคียด|เดือดดาล|พิโรธ|พื้นเสีย|โมโห
เลือด,n,โลหิต|รุธิระ|รุเธียร|โรหิต
แดง,adj,ชาด|ประวาลวรรณ|มันปู|รุธิระ|รุเธียร|โรหิต|กษาย|มณีราค|โศณะ|หง
ขาว,adj,ชุณห|ชุษณะ|ซีด|ด่อน|เผือก|นวล|พบู|พิศุทธ์|วิศุทธ์|วิศุทธิ์|วิสุทธ์|วิสุทธิ์|ศุกล|ศุภร|เศวต|เศวตร|สกาว|สอ|อรชุน
ดำ,adj,กัณห|กาฬ|จะกรุน|จะกรูน|ทะมึน|นิล|ศยาม|ศยามล|สามะ|สามล|อสิตะ
ใหญ่,adj,กว้าง|มหันต์|มหา|มหึมา|พิบูล|ไพศาล|มโหฬาร
